Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

P4         HDR1X3                 180mil        430mil        180mil        530mil        180mil        530mil  T        270.00 AUX            
U3         DIP6                   180mil        930mil         80mil        780mil         80mil        780mil  T         90.00 MOC3081        
U2         DIP6                   700mil        930mil        600mil        780mil        600mil        780mil  T         90.00 MOC3081        
U1         DIP6                  1220mil        930mil       1120mil        780mil       1120mil        780mil  T         90.00 MOC3081        
P3         TERMINAL_BLOK_2        310mil       1880mil        310mil       1880mil    408.425mil       1880mil  T         90.00                
P2         TERMINAL_BLOK_2        710mil       1880mil        710mil       1880mil    808.425mil       1880mil  T         90.00                
P1         TERMINAL_BLOK_2       1240mil       1880mil       1240mil       1880mil   1338.425mil       1880mil  T         90.00 220VAC         
R9         RD6.35x2.3             220mil       1400mil        220mil       1400mil        220mil   1192.323mil  T         90.00 360R           
R8         RD6.35x2.3              80mil       1400mil         80mil       1400mil         80mil   1192.323mil  T         90.00 360R           
R7         ERA-0805               415mil        850mil        415mil        850mil    377.599mil        850mil  T        360.00 330R           
R6         RD6.35x2.3             740mil       1400mil        740mil       1400mil        740mil   1192.323mil  T         90.00 360R           
R5         RD6.35x2.3             600mil       1400mil        600mil       1400mil        600mil   1192.323mil  T         90.00 360R           
R4         ERA-0805               490mil        760mil        490mil        760mil    527.402mil        760mil  T        180.00 330R           
R3         RD6.35x2.3            1260mil       1400mil       1260mil       1400mil       1260mil   1192.323mil  T         90.00 360R           
R2         RD6.35x2.3            1120mil       1400mil       1120mil       1400mil       1120mil   1192.323mil  T         90.00 360R           
R1         ERA-0805              1010mil        825mil       1010mil        825mil       1010mil    787.598mil  T         90.00 330R           
J1         15-43-8501             710mil    369.961mil        710mil       -220mil        535mil    444.961mil  T        360.00 15-43-8501     
D3         ONSC-TO-220-3-221A-07        400mil   1405.968mil        400mil   1405.968mil        400mil   1505.968mil  T        360.00 BTA16-600      
D2         ONSC-TO-220-3-221A-07        920mil   1405.968mil        920mil   1405.968mil        920mil   1505.968mil  T        360.00 BTA16-600      
D1         ONSC-TO-220-3-221A-07       1440mil   1405.968mil       1440mil   1405.968mil       1440mil   1505.968mil  T        360.00 BTA16-600      
C2         0805                   925mil        710mil        925mil        710mil    962.402mil        710mil  T        180.00 4u7            
C1         0603                   920mil        635mil        920mil        635mil    953.464mil        635mil  T        180.00 100nF          

